Nom et prénom,Date,Tour,Nombre de voix obtenues,Bulletins délivrés,Bulletins rentrés,Bulletins blancs,Bulletins nuls,Majorité absolue,Pourcentage des voix
"Graber, Pierre , 1969",1969-12-10,1,188,243,243,22,0,111,77.37
"Felber, René , 1987",1987-12-09,1,152,242,242,11,3,115,62.81
"Spühler, Willy , 1959",1959-12-17,1,149,238,238,12,0,114,62.61
"Aubert, Pierre , 1977",1977-12-07,1,139,239,239,7,0,117,58.16
"Weber, Mas , 1951",1951-12-13,1,133,234,233,22,1,106,57.08
"Nobs, Ernst , 1943",1943-12-13,1,122,233,233,0,52,91,52.36
"Ritschard, Willi , 1973",1973-12-05,1,123,242,242,1,0,121,50.83
"Stich, Otto , 1983",1983-12-07,1,124,246,246,2,0,123,50.41
"Berset, Alain , 2011",2011-12-14,2,126,245,245,0,0,123,51.43
"Dreifuss, Ruth , 1993",1993-03-10,3,144,229,228,38,0,96,63.16
"Tschudi, Hans-Peter , 1959",1959-12-17,3,129,235,235,5,0,116,54.89
"Baume-Schneider, Elisabeth , 2022",2022-12-07,3,123,245,245,0,0,123,50.2
"Sommaruga, Simonetta , 2010",2010-09-22,4,159,245,245,3,2,121,64.9
"Calmy-Rey, Micheline , 2002",2002-12-04,5,131,245,244,44,1,100,53.69
"Leuenberger, Moritz , 1995",1995-09-27,5,124,244,244,33,1,106,50.82
