Nom et prénom,Parti,Date,Tour,Nombre de voix obtenues,Bulletins délivrés,Bulletins rentrés,Bulletins blancs,Bulletins nuls,Majorité absolue,Pourcentage des voix
"Graber, Pierre",PS,1969-12-10,1,188,243,243,22,0,111,77.37
"Schaffner, Hans",PLR,1961-06-15,1,175,233,232,15,3,108,75.43
"Honegger, Fritz",PLR,1977-12-07,1,173,240,230,20,2,105,75.22
"Koller, Arnold",Le Centre,1986-12-10,1,180,244,243,0,1,122,74.07
"Gnägi, Rudolf",UDC,1965-12-15,1,176,242,239,23,1,108,73.64
"Cotti, Flavio",Le Centre,1986-12-10,1,163,243,242,3,0,120,67.36
"Brugger, Ernst",PLR,1969-12-10,1,160,243,241,5,0,119,66.39
"Schlumpf, Leon",UDC,1979-12-05,1,159,246,246,4,1,121,64.63
"Keller-Suter, Karin",PLR,2018-12-05,1,154,244,243,6,0,119,63.37
"Felber, René",PS,1987-12-09,1,152,242,242,11,3,115,62.81
"Spühler, Willy",PS,1959-12-17,1,149,238,238,12,0,114,62.61
"von Moos, Ludwig",Le Centre,1959-12-17,1,148,238,238,12,0,114,62.18
"Ahmerd, Viola",Le Centre,2018-12-05,1,148,244,244,4,0,121,60.66
"Aubert, Pierre",PS,1977-12-07,1,139,239,239,7,0,117,58.16
"Celio, Nello",PLR,1966-12-14,1,136,236,236,2,2,117,57.63
"Chevallaz, Georges-André",PLR,1973-12-05,1,137,241,241,0,0,121,56.85
"Bourgknecht, Jean",Le Centre,1959-12-17,1,134,240,240,7,0,117,55.83
"Leuthard, Doris",Le Centre,2006-06-14,1,133,242,242,5,3,118,54.96
"Hürlimann, Hans",Le Centre,1973-12-05,1,132,241,241,3,9,115,54.77
"Friedrich, Rudolf",PLR,1982-12-08,1,130,245,245,0,0,123,53.06
