Nom et prénom,Parti,Date,Tour,Nombre de voix obtenues,Bulletins délivrés,Bulletins rentrés,Bulletins blancs,Bulletins nuls,Majorité absolue,Pourcentage des voix
"Fuhrer, Rita",UDC,2000-12-06T00:00:00Z,6,28,244,244,10,2,117,11.48
"Siegrist, Ulrich",UDC,2000-12-06T00:00:00Z,6,83,244,244,10,2,117,34.02
"Hess, Peter",Le Centre,1999-03-11T00:00:00Z,6,119,244,244,5,0,120,48.77
"Deiss, Joseph",Le Centre,1999-03-11T00:00:00Z,6,120,244,244,5,0,120,49.18
"Schmid, Samuel",UDC,2000-12-06T00:00:00Z,6,121,244,244,10,2,117,49.59
"Lüthi, Ruth",PS,2002-12-04T00:00:00Z,5,68,245,244,44,1,100,27.87
"Piller, Otto",PS,1995-09-27T00:00:00Z,5,86,244,244,33,1,106,35.25
"Torche, Paul",Le Centre,1962-09-07T00:00:00Z,5,85,234,233,4,2,114,36.48
"Langenberger, Christiane",PLR,1998-03-11T00:00:00Z,5,92,246,246,7,1,120,37.4
"Rime, Jean-François",UDC,2010-09-22T00:00:00Z,5,93,245,245,6,2,119,37.96
"Leuenberger, Moritz",PS,1995-09-27T00:00:00Z,5,124,244,244,33,1,106,50.82
"Calmy-Rey, Micheline",PS,2002-12-04T00:00:00Z,5,131,245,244,44,1,100,53.69
"Schneider-Ammann, Johann N.",PLR,2010-09-22T00:00:00Z,5,144,245,245,6,2,119,58.78
"Couchepin, Pascal",PLR,1998-03-11T00:00:00Z,5,146,246,246,7,1,120,59.35
"Bonvin, Roger",Le Centre,1962-09-07T00:00:00Z,5,142,234,233,4,2,114,60.94
"Lüscher, Christian",PLR,2009-09-16T00:00:00Z,4,4,245,245,5,1,120,1.63
"Rime, Jean-François",UDC,2010-09-22T00:00:00Z,4,81,245,245,3,2,121,33.06
"Schwaller, Urs",Le Centre,2009-09-16T00:00:00Z,4,106,245,245,5,1,120,43.27
"Roos, Rita",Le Centre,1999-03-11T00:00:00Z,4,118,245,244,0,0,123,48.36
"Metzler-Arnold, Ruth",Le Centre,1999-03-11T00:00:00Z,4,126,245,244,0,0,123,51.64
